"GENE" "SCORE" "CHROM" "DEBUT" "FIN" "POS_GENE" "TAILLE" "SNPs_par_pb" "SOUCHE"
"1" "CBS815.71p_g10:g" 0 "CBS815.71p_contig_1" 64561 67180 65870.5 2620 0 "S1.PSN1217.h"
"2" "CBS815.71p_g100:g" 0 "CBS815.71p_contig_1" 321457 322465 321961 1009 0 "S1.PSN1217.h"
"3" "CBS815.71p_g1000:g" 0 "CBS815.71p_contig_1" 3490104 3491294 3490699 1191 0 "S1.PSN1217.h"
"4" "CBS815.71p_g1001:g" 0 "CBS815.71p_contig_1" 3492874 3494387 3493630.5 1514 0 "S1.PSN1217.h"
"5" "CBS815.71p_g1002:g" 0 "CBS815.71p_contig_1" 3497492 3499338 3498415 1847 0 "S1.PSN1217.h"
"6" "CBS815.71p_g1003:g" 0 "CBS815.71p_contig_1" 3499139 3499402 3499270.5 264 0 "S1.PSN1217.h"
"7" "CBS815.71p_g1004:g" 0 "CBS815.71p_contig_1" 3499706 3501187 3500446.5 1482 0 "S1.PSN1217.h"
"8" "CBS815.71p_g1005:g" 0 "CBS815.71p_contig_1" 3501818 3503100 3502459 1283 0 "S1.PSN1217.h"
"9" "CBS815.71p_g1006:g" 0 "CBS815.71p_contig_1" 3503692 3505460 3504576 1769 0 "S1.PSN1217.h"
"10" "CBS815.71p_g1007:g" 0 "CBS815.71p_contig_1" 3505890 3506544 3506217 655 0 "S1.PSN1217.h"
"11" "CBS815.71p_g1008:g" 0 "CBS815.71p_contig_1" 3508214 3510837 3509525.5 2624 0 "S1.PSN1217.h"
"12" "CBS815.71p_g1009:g" 0 "CBS815.71p_contig_1" 3511449 3512586 3512017.5 1138 0 "S1.PSN1217.h"
"13" "CBS815.71p_g101:g" 0 "CBS815.71p_contig_1" 324842 326161 325501.5 1320 0 "S1.PSN1217.h"
"14" "CBS815.71p_g1010:g" 0 "CBS815.71p_contig_1" 3514111 3515529 3514820 1419 0 "S1.PSN1217.h"
"15" "CBS815.71p_g1011:g" 0 "CBS815.71p_contig_1" 3516079 3517756 3516917.5 1678 0 "S1.PSN1217.h"
"16" "CBS815.71p_g1012:g" 0 "CBS815.71p_contig_1" 3518466 3519527 3518996.5 1062 0 "S1.PSN1217.h"
"17" "CBS815.71p_g1013:g" 0 "CBS815.71p_contig_1" 3519962 3524386 3522174 4425 0 "S1.PSN1217.h"
"18" "CBS815.71p_g1014:g" 0 "CBS815.71p_contig_1" 3525214 3526305 3525759.5 1092 0 "S1.PSN1217.h"
"19" "CBS815.71p_g1015:g" 0 "CBS815.71p_contig_1" 3527332 3530630 3528981 3299 0 "S1.PSN1217.h"
"20" "CBS815.71p_g1016:g" 0 "CBS815.71p_contig_1" 3530848 3533697 3532272.5 2850 0 "S1.PSN1217.h"
"21" "CBS815.71p_g1017:g" 0 "CBS815.71p_contig_1" 3534052 3535111 3534581.5 1060 0 "S1.PSN1217.h"
"22" "CBS815.71p_g1018:g" 0 "CBS815.71p_contig_1" 3537348 3540023 3538685.5 2676 0 "S1.PSN1217.h"
"23" "CBS815.71p_g1019:g" 0 "CBS815.71p_contig_1" 3540783 3542047 3541415 1265 0 "S1.PSN1217.h"
"24" "CBS815.71p_g1020:g" 0 "CBS815.71p_contig_1" 3542953 3545416 3544184.5 2464 0 "S1.PSN1217.h"
"25" "CBS815.71p_g1021:g" 0 "CBS815.71p_contig_1" 3549119 3551791 3550455 2673 0 "S1.PSN1217.h"
"26" "CBS815.71p_g1022:g" 0 "CBS815.71p_contig_1" 3552318 3553299 3552808.5 982 0 "S1.PSN1217.h"
"27" "CBS815.71p_g1023:g" 0 "CBS815.71p_contig_1" 3554623 3555731 3555177 1109 0 "S1.PSN1217.h"
"28" "CBS815.71p_g1024:g" 0 "CBS815.71p_contig_1" 3562283 3562996 3562639.5 714 0 "S1.PSN1217.h"
"29" "CBS815.71p_g103:g" 0 "CBS815.71p_contig_1" 332499 333595 333047 1097 0 "S1.PSN1217.h"
"30" "CBS815.71p_g1030:g" 0 "CBS815.71p_contig_1" 3581532 3581990 3581761 459 0 "S1.PSN1217.h"
"31" "CBS815.71p_g1031:g" 0 "CBS815.71p_contig_1" 3583040 3585736 3584388 2697 0 "S1.PSN1217.h"
"32" "CBS815.71p_g1032:g" 0 "CBS815.71p_contig_1" 3597277 3599423 3598350 2147 0 "S1.PSN1217.h"
"33" "CBS815.71p_g1033:g" 0 "CBS815.71p_contig_1" 3604333 3605331 3604832 999 0 "S1.PSN1217.h"
"34" "CBS815.71p_g1034:g" 0 "CBS815.71p_contig_1" 3606040 3607317 3606678.5 1278 0 "S1.PSN1217.h"
"35" "CBS815.71p_g1035:g" 0 "CBS815.71p_contig_1" 3608932 3609992 3609462 1061 0 "S1.PSN1217.h"
"36" "CBS815.71p_g1036:g" 0 "CBS815.71p_contig_1" 3610347 3611326 3610836.5 980 0 "S1.PSN1217.h"
"37" "CBS815.71p_g1037:g" 0 "CBS815.71p_contig_1" 3616204 3616687 3616445.5 484 0 "S1.PSN1217.h"
"38" "CBS815.71p_g1038:g" 0 "CBS815.71p_contig_1" 3617020 3617742 3617381 723 0 "S1.PSN1217.h"
"39" "CBS815.71p_g1039:g" 0 "CBS815.71p_contig_1" 3619086 3619667 3619376.5 582 0 "S1.PSN1217.h"
"40" "CBS815.71p_g104:g" 0 "CBS815.71p_contig_1" 334169 334986 334577.5 818 0 "S1.PSN1217.h"
"41" "CBS815.71p_g1040:g" 0 "CBS815.71p_contig_1" 3619694 3621490 3620592 1797 0 "S1.PSN1217.h"
"42" "CBS815.71p_g1042:g" 0 "CBS815.71p_contig_1" 3624848 3626539 3625693.5 1692 0 "S1.PSN1217.h"
"43" "CBS815.71p_g1043:g" 0 "CBS815.71p_contig_1" 3627038 3630547 3628792.5 3510 0 "S1.PSN1217.h"
"44" "CBS815.71p_g1044:g" 0 "CBS815.71p_contig_1" 3631377 3631928 3631652.5 552 0 "S1.PSN1217.h"
"45" "CBS815.71p_g1045:g" 0 "CBS815.71p_contig_1" 3632214 3633419 3632816.5 1206 0 "S1.PSN1217.h"
"46" "CBS815.71p_g1046:g" 0 "CBS815.71p_contig_1" 3633651 3635145 3634398 1495 0 "S1.PSN1217.h"
"47" "CBS815.71p_g1047:g" 0 "CBS815.71p_contig_1" 3636016 3636340 3636178 325 0 "S1.PSN1217.h"
"48" "CBS815.71p_g1048:g" 0 "CBS815.71p_contig_1" 3636916 3637792 3637354 877 0 "S1.PSN1217.h"
"49" "CBS815.71p_g1049:g" 0 "CBS815.71p_contig_1" 3638131 3638697 3638414 567 0 "S1.PSN1217.h"
"50" "CBS815.71p_g105:g" 0 "CBS815.71p_contig_1" 335045 335372 335208.5 328 0 "S1.PSN1217.h"
"51" "CBS815.71p_g1050:g" 0 "CBS815.71p_contig_1" 3639676 3642176 3640926 2501 0 "S1.PSN1217.h"
"52" "CBS815.71p_g1051:g" 0 "CBS815.71p_contig_1" 3643491 3645529 3644510 2039 0 "S1.PSN1217.h"
"53" "CBS815.71p_g1052:g" 0 "CBS815.71p_contig_1" 3646563 3653204 3649883.5 6642 0 "S1.PSN1217.h"
"54" "CBS815.71p_g1053:g" 0 "CBS815.71p_contig_1" 3653896 3655470 3654683 1575 0 "S1.PSN1217.h"
"55" "CBS815.71p_g1054:g" 0 "CBS815.71p_contig_1" 3655719 3656995 3656357 1277 0 "S1.PSN1217.h"
"56" "CBS815.71p_g1055:g" 0 "CBS815.71p_contig_1" 3657933 3659764 3658848.5 1832 0 "S1.PSN1217.h"
"57" "CBS815.71p_g1056:g" 0 "CBS815.71p_contig_1" 3660389 3660907 3660648 519 0 "S1.PSN1217.h"
"58" "CBS815.71p_g1057:g" 0 "CBS815.71p_contig_1" 3663516 3663908 3663712 393 0 "S1.PSN1217.h"
"59" "CBS815.71p_g1058:g" 0 "CBS815.71p_contig_1" 3665063 3666868 3665965.5 1806 0 "S1.PSN1217.h"
"60" "CBS815.71p_g1059:g" 0 "CBS815.71p_contig_1" 3669071 3672758 3670914.5 3688 0 "S1.PSN1217.h"
"61" "CBS815.71p_g106:g" 0 "CBS815.71p_contig_1" 338293 339600 338946.5 1308 0 "S1.PSN1217.h"
"62" "CBS815.71p_g1060:g" 0 "CBS815.71p_contig_1" 3673700 3674879 3674289.5 1180 0 "S1.PSN1217.h"
