"GENE" "SCORE" "CHROM" "DEBUT" "FIN" "POS_GENE" "TAILLE" "SNPs_par_pb" "SOUCHE"
"1" "CBS815.71p_g10:g" 0 "CBS815.71p_contig_1" 64561 67180 65870.5 2620 0 "PSN1057"
"2" "CBS815.71p_g100:g" 0 "CBS815.71p_contig_1" 321457 322465 321961 1009 0 "PSN1057"
"3" "CBS815.71p_g1000:g" 11 "CBS815.71p_contig_1" 3490104 3491294 3490699 1191 0.00923593618807725 "PSN1057"
"4" "CBS815.71p_g1001:g" 19 "CBS815.71p_contig_1" 3492874 3494387 3493630.5 1514 0.0125495376486129 "PSN1057"
"5" "CBS815.71p_g1002:g" 40 "CBS815.71p_contig_1" 3497492 3499338 3498415 1847 0.0216567406605306 "PSN1057"
"6" "CBS815.71p_g1003:g" 0 "CBS815.71p_contig_1" 3499139 3499402 3499270.5 264 0 "PSN1057"
"7" "CBS815.71p_g1004:g" 29 "CBS815.71p_contig_1" 3499706 3501187 3500446.5 1482 0.0195681511470985 "PSN1057"
"8" "CBS815.71p_g1005:g" 17 "CBS815.71p_contig_1" 3501818 3503100 3502459 1283 0.0132501948558067 "PSN1057"
"9" "CBS815.71p_g1006:g" 21 "CBS815.71p_contig_1" 3503692 3505460 3504576 1769 0.0118711136235161 "PSN1057"
"10" "CBS815.71p_g1007:g" 6 "CBS815.71p_contig_1" 3505890 3506544 3506217 655 0.00916030534351145 "PSN1057"
"11" "CBS815.71p_g1008:g" 24 "CBS815.71p_contig_1" 3508214 3510837 3509525.5 2624 0.00914634146341463 "PSN1057"
"12" "CBS815.71p_g1009:g" 5 "CBS815.71p_contig_1" 3511449 3512586 3512017.5 1138 0.00439367311072056 "PSN1057"
"13" "CBS815.71p_g101:g" 0 "CBS815.71p_contig_1" 324842 326161 325501.5 1320 0 "PSN1057"
"14" "CBS815.71p_g1010:g" 2 "CBS815.71p_contig_1" 3514111 3515529 3514820 1419 0.00140944326990839 "PSN1057"
"15" "CBS815.71p_g1011:g" 21 "CBS815.71p_contig_1" 3516079 3517756 3516917.5 1678 0.0125148986889154 "PSN1057"
"16" "CBS815.71p_g1012:g" 0 "CBS815.71p_contig_1" 3518466 3519527 3518996.5 1062 0 "PSN1057"
"17" "CBS815.71p_g1013:g" 39 "CBS815.71p_contig_1" 3519962 3524386 3522174 4425 0.0088135593220339 "PSN1057"
"18" "CBS815.71p_g1014:g" 10 "CBS815.71p_contig_1" 3525214 3526305 3525759.5 1092 0.00915750915750916 "PSN1057"
"19" "CBS815.71p_g1015:g" 56 "CBS815.71p_contig_1" 3527332 3530630 3528981 3299 0.0169748408608669 "PSN1057"
"20" "CBS815.71p_g1016:g" 69 "CBS815.71p_contig_1" 3530848 3533697 3532272.5 2850 0.0242105263157895 "PSN1057"
"21" "CBS815.71p_g1017:g" 16 "CBS815.71p_contig_1" 3534052 3535111 3534581.5 1060 0.0150943396226415 "PSN1057"
"22" "CBS815.71p_g1018:g" 38 "CBS815.71p_contig_1" 3537348 3540023 3538685.5 2676 0.0142002989536622 "PSN1057"
"23" "CBS815.71p_g1019:g" 5 "CBS815.71p_contig_1" 3540783 3542047 3541415 1265 0.00395256916996047 "PSN1057"
"24" "CBS815.71p_g1020:g" 0 "CBS815.71p_contig_1" 3542953 3545416 3544184.5 2464 0 "PSN1057"
"25" "CBS815.71p_g1021:g" 0 "CBS815.71p_contig_1" 3549119 3551791 3550455 2673 0 "PSN1057"
"26" "CBS815.71p_g1022:g" 0 "CBS815.71p_contig_1" 3552318 3553299 3552808.5 982 0 "PSN1057"
"27" "CBS815.71p_g1023:g" 0 "CBS815.71p_contig_1" 3554623 3555731 3555177 1109 0 "PSN1057"
"28" "CBS815.71p_g1024:g" 0 "CBS815.71p_contig_1" 3562283 3562996 3562639.5 714 0 "PSN1057"
"29" "CBS815.71p_g103:g" 0 "CBS815.71p_contig_1" 332499 333595 333047 1097 0 "PSN1057"
"30" "CBS815.71p_g1030:g" 2 "CBS815.71p_contig_1" 3581532 3581990 3581761 459 0.00435729847494553 "PSN1057"
"31" "CBS815.71p_g1031:g" 42 "CBS815.71p_contig_1" 3583040 3585736 3584388 2697 0.0155728587319244 "PSN1057"
"32" "CBS815.71p_g1032:g" 26 "CBS815.71p_contig_1" 3597277 3599423 3598350 2147 0.0121099208197485 "PSN1057"
"33" "CBS815.71p_g1033:g" 5 "CBS815.71p_contig_1" 3604333 3605331 3604832 999 0.005005005005005 "PSN1057"
"34" "CBS815.71p_g1034:g" 23 "CBS815.71p_contig_1" 3606040 3607317 3606678.5 1278 0.0179968701095462 "PSN1057"
"35" "CBS815.71p_g1035:g" 2 "CBS815.71p_contig_1" 3608932 3609992 3609462 1061 0.00188501413760603 "PSN1057"
"36" "CBS815.71p_g1036:g" 6 "CBS815.71p_contig_1" 3610347 3611326 3610836.5 980 0.00612244897959184 "PSN1057"
"37" "CBS815.71p_g1037:g" 0 "CBS815.71p_contig_1" 3616204 3616687 3616445.5 484 0 "PSN1057"
"38" "CBS815.71p_g1038:g" 0 "CBS815.71p_contig_1" 3617020 3617742 3617381 723 0 "PSN1057"
"39" "CBS815.71p_g1039:g" 2 "CBS815.71p_contig_1" 3619086 3619667 3619376.5 582 0.00343642611683849 "PSN1057"
"40" "CBS815.71p_g104:g" 0 "CBS815.71p_contig_1" 334169 334986 334577.5 818 0 "PSN1057"
"41" "CBS815.71p_g1040:g" 5 "CBS815.71p_contig_1" 3619694 3621490 3620592 1797 0.00278241513633834 "PSN1057"
"42" "CBS815.71p_g1042:g" 33 "CBS815.71p_contig_1" 3624848 3626539 3625693.5 1692 0.0195035460992908 "PSN1057"
"43" "CBS815.71p_g1043:g" 65 "CBS815.71p_contig_1" 3627038 3630547 3628792.5 3510 0.0185185185185185 "PSN1057"
"44" "CBS815.71p_g1044:g" 4 "CBS815.71p_contig_1" 3631377 3631928 3631652.5 552 0.0072463768115942 "PSN1057"
"45" "CBS815.71p_g1045:g" 7 "CBS815.71p_contig_1" 3632214 3633419 3632816.5 1206 0.00580431177446103 "PSN1057"
"46" "CBS815.71p_g1046:g" 22 "CBS815.71p_contig_1" 3633651 3635145 3634398 1495 0.0147157190635452 "PSN1057"
"47" "CBS815.71p_g1047:g" 0 "CBS815.71p_contig_1" 3636016 3636340 3636178 325 0 "PSN1057"
"48" "CBS815.71p_g1048:g" 3 "CBS815.71p_contig_1" 3636916 3637792 3637354 877 0.00342075256556442 "PSN1057"
"49" "CBS815.71p_g1049:g" 10 "CBS815.71p_contig_1" 3638131 3638697 3638414 567 0.017636684303351 "PSN1057"
"50" "CBS815.71p_g105:g" 0 "CBS815.71p_contig_1" 335045 335372 335208.5 328 0 "PSN1057"
"51" "CBS815.71p_g1050:g" 45 "CBS815.71p_contig_1" 3639676 3642176 3640926 2501 0.0179928028788485 "PSN1057"
"52" "CBS815.71p_g1051:g" 14 "CBS815.71p_contig_1" 3643491 3645529 3644510 2039 0.0068661108386464 "PSN1057"
"53" "CBS815.71p_g1052:g" 138 "CBS815.71p_contig_1" 3646563 3653204 3649883.5 6642 0.020776874435411 "PSN1057"
